"","X.1","X","env","ALT","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M","T2M_MAX","T2M_MIN","PRECTOT","WS2M","RH2M","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","daysFromStart","n","N","RTA","VPD","SPV","ETP","PETP","GDD","FRUE","T2M_RANGE","PTR","PTT"
"49",49,49,"DEH1.2020",14,-75.4661,38.63014,2020,7,1,183,"2020-07-01",26.5,31.53,21.69,6.92,0.62,70.06,19.78,412.43,16.22,49,5.7120526379626,14.645902625114,41.5886469603828,1.30549318302021,0.205181867342918,7.47664589188448,-0.556645891884475,18.61,0.845909090909091,9.84,0.786991006185599,272.560247853371
"50",50,50,"DEH1.2020",14,-75.4661,38.63014,2020,7,2,184,"2020-07-02",27.12,32.66,20.78,2.14,1.73,64.19,18.91,392.3,28.81,50,10.1483197987503,14.6353001277927,41.5480596831046,1.50916638263894,0.206341543181951,13.2877528002628,-11.1477528002628,18.72,0.850909090909091,11.88,0.781800220501747,273.972818392279
"51",51,51,"DEH1.2020",14,-75.4661,38.63014,2020,7,3,185,"2020-07-03",29.96,36.92,22.8,0.6,2.14,55.06,18.65,407.3,27.62,51,9.73174368681629,14.6238096180907,41.5043423511911,2.36163235223512,0.241849228339479,12.9341597896653,-12.3341597896653,21.86,0.993636363636364,14.12,0.668975737332603,319.676478251463
"52",52,52,"DEH1.2020",14,-75.4661,38.63014,2020,7,4,186,"2020-07-04",26.95,31.83,22.23,0.87,2.43,69.56,20.47,405.91,25.34,52,8.93092673759358,14.6114392700931,41.4574972993143,1.28803043980441,0.209639423491235,11.7062542697736,-10.8362542697736,19.03,0.865,9.6,0.767810786657546,278.055689309872
"53",53,53,"DEH1.2020",14,-75.4661,38.63014,2020,7,5,187,"2020-07-05",27.55,33.9,21.51,0.16,2.09,64.56,19.31,399.62,26.49,53,9.339033000212,14.5981978128169,41.4075268877133,1.68754467108681,0.216973866743937,12.279594852977,-12.119594852977,19.705,0.895681818181818,12.39,0.74083723992981,287.657487901557
"54",54,54,"DEH1.2020",14,-75.4661,38.63014,2020,7,6,188,"2020-07-06",27.58,33.53,23.63,16.03,2.96,75.19,22.13,410.04,24.97,54,8.80594434421248,14.5840945090466,41.3544335117486,1.38496057279331,0.226801390025685,11.6244939748592,4.4055060251408,20.58,0.935454545454545,9.9,0.708653766231613,300.140664996179
"55",55,55,"DEH1.2020",14,-75.4661,38.63014,2020,7,7,189,"2020-07-07",27.4,32.1,23.64,12.33,2.55,76.69,22.4,415.91,19.47,55,6.86860454480075,14.5691391331745,41.2982196125451,1.14175812782781,0.21879916277289,9.03283862180887,3.29716137819113,19.87,0.903181818181818,8.46,0.733222905544766,289.488794576177
"56",56,56,"DEH1.2020",14,-75.4661,38.63014,2020,7,8,190,"2020-07-08",27.41,33.05,22.57,0.55,2.36,74.31,21.56,394.66,28.55,56,10.0753908727013,14.5533419481517,41.2388876887645,1.31684038022989,0.218133931610242,13.2414408324252,-12.6914408324252,19.81,0.900454545454545,10.48,0.734646236655815,288.301703992885
"57",57,57,"DEH1.2020",14,-75.4661,38.63014,2020,7,9,191,"2020-07-09",26.38,30.3,22.46,1.79,2.48,80.25,22.47,411.1,25.52,57,9.00944643021718,14.5367136816582,41.1764403095491,0.79714724715764,0.202774799339096,11.7490885570598,-9.95908855705977,18.38,0.835454545454546,7.84,0.790898459284995,267.184797468878
"58",58,58,"DEH1.2020",14,-75.4661,38.63014,2020,7,10,192,"2020-07-10",25.65,29.01,23.44,70.92,3.7,87.38,23.31,421.85,17.33,58,6.12049341573756,14.5192655015998,41.1108801286737,0.583969198235394,0.201166082569389,7.97185671268123,62.9481432873188,18.225,0.828409090909091,5.57,0.796667517234557,264.613613766656
"59",59,59,"DEH1.2020",14,-75.4661,38.63014,2020,7,11,193,"2020-07-11",27.34,31.05,24.19,3.12,2.92,78.88,23.12,419.8,22.45,59,7.93202053794262,14.5010089910425,41.0422098999436,0.931832421316342,0.216038568228151,10.4024030641868,-7.28240306418675,19.62,0.891818181818182,6.86,0.739093220746305,284.509796404254
"60",60,60,"DEH1.2020",14,-75.4661,38.63014,2020,7,12,194,"2020-07-12",26.58,31.24,21.26,0.36,1.9,70.38,20.13,402.15,28.16,60,9.95380960345202,14.4819561226942,40.9704324938703,1.18346872730676,0.201424824172533,12.9554427471656,-12.5954427471656,18.25,0.829545454545455,9.98,0.793531842339408,264.295699239169
"61",61,61,"DEH1.2020",14,-75.4661,38.63014,2020,7,13,195,"2020-07-13",25.65,30.05,21.71,1.57,1.48,75.5,20.56,402.41,23.91,61,8.45542517754928,14.46211923304,40.8955509156559,1.00579143224676,0.197623912286135,10.9779800698837,-9.40798006988373,17.88,0.812727272727273,8.34,0.808843357552573,258.582691886755
"62",62,62,"DEH1.2020",14,-75.4661,38.63014,2020,7,14,196,"2020-07-14",26.25,31.06,21.13,0.26,1.52,64.25,18.19,393.65,28.41,62,10.0516357109106,14.4415109962403,40.8175683245107,1.41862506386459,0.19982513038809,13.0594742956534,-12.7994742956534,18.095,0.8225,9.93,0.798094003660696,261.319141476968
"63",63,63,"DEH1.2020",14,-75.4661,38.63014,2020,7,15,197,"2020-07-15",25.76,31.6,20.73,0.74,1.87,70.31,19.23,392.21,24.2,63,8.56645997474494,14.4201443978948,40.7364880543254,1.3180379546184,0.20054624364244,11.1284611068931,-10.3884611068931,18.165,0.825681818181818,10.87,0.793842245961729,261.941922987759
"64",64,64,"DEH1.2020",14,-75.4661,38.63014,2020,7,16,198,"2020-07-16",24.6,29.37,20.56,0.42,2.93,76.44,19.75,406.29,20.36,64,7.21100276302893,14.3980327087742,40.6523136357128,0.953983293961131,0.188482788831743,9.29983790633835,-8.87983790633835,16.965,0.771136363636364,8.81,0.848690404289667,244.262624904354
"65",65,65,"DEH1.2020",14,-75.4661,38.63014,2020,7,17,199,"2020-07-17",27.54,32.55,22.01,1.32,2.99,78.81,23.15,424.32,20.51,65,7.26820611282078,14.3751894586181,40.5650488194303,0.939994648260165,0.212331186551051,9.48714353334734,-8.16714353334734,19.28,0.876363636363636,10.54,0.745601112998864,277.153652762157
"66",66,66,"DEH1.2020",14,-75.4661,38.63014,2020,7,18,200,"2020-07-18",29.19,34.73,24.16,0.99,1.1,70.19,22.11,425.51,26.61,66,9.43544620779016,14.3516284100928,40.4746976011866,1.61424146233954,0.236881341391609,12.4379527666585,-11.4479527666585,21.445,0.974772727272727,10.57,0.669229583123936,307.77067125444
"67",67,67,"DEH1.2020",14,-75.4661,38.63014,2020,7,19,201,"2020-07-19",28.7,34.12,22.68,1.38,1.86,75.81,23.48,423.08,25.44,67,9.02616931561563,14.3273635330006,40.3812642478305,1.16312965554351,0.224749763979698,11.8330974817264,-10.4530974817264,20.4,0.927272727272727,11.44,0.702321741813755,292.278216073212
"68",68,68,"DEH1.2020",14,-75.4661,38.63014,2020,7,20,202,"2020-07-20",29.64,34.3,25.73,1.18,2.34,70.88,23.29,432.18,24.68,68,8.76220963177812,14.3024089788237,40.2847533249141,1.49931484639874,0.24372698125282,11.5653248835781,-10.3853248835781,22.015,1,8.57,0.64966654457523,314.867533668804
"69",69,69,"DEH1.2020",14,-75.4661,38.63014,2020,7,21,203,"2020-07-21",29.48,33.86,26.12,5.72,1.17,76.88,24.58,430.09,25.94,69,9.21582890487146,14.2767790556854,40.1851697256139,1.24221955271776,0.243423293490789,12.1544338535736,-6.43443385357361,21.99,0.999545454545455,7.74,0.649239611445448,313.946371434522
"70",70,70,"DEH1.2020",14,-75.4661,38.63014,2020,7,22,204,"2020-07-22",27.99,31.99,25.22,5.79,1.4,82,24.36,426.9,24.95,70,8.87044258214474,14.2504882038018,40.0825187009877,0.931772928074036,0.227087578006438,11.6165655601841,-5.82656556018406,20.605,0.936590909090909,6.77,0.691603407124572,293.631309439336
"71",71,71,"DEH1.2020",14,-75.4661,38.63014,2020,7,23,205,"2020-07-23",27.83,32.05,24.52,2.87,1.81,79.44,23.63,423.57,24.07,71,8.56398764855692,14.2235509714954,39.9768058915387,1.00495551772514,0.223447181336602,11.1896489789036,-8.31964897890363,20.285,0.922045454545454,7.53,0.701185653019246,288.524731456784
"72",72,72,"DEH1.2020",14,-75.4661,38.63014,2020,7,24,206,"2020-07-24",26.3,29.18,24.01,13.68,0.9,81.56,22.78,418.05,14.85,72,5.28770279497086,14.1959819918338,39.8680373600488,0.744326900610666,0.205024155369304,6.84459715166083,6.83540284833917,18.595,0.845227272727273,5.17,0.763430061405421,263.97428513815
"73",73,73,"DEH1.2020",14,-75.4661,38.63014,2020,7,25,207,"2020-07-25",26.76,31.71,21.49,5.57,1.34,78,22.28,411.1,24.85,73,8.85571447486852,14.1677959599521,39.7562196256374,0.930707806847546,0.205076714692229,11.4540570694106,-5.8840570694106,18.6,0.845454545454546,10.22,0.761709460212478,263.521004855109
"74",74,74,"DEH1.2020",14,-75.4661,38.63014,2020,7,26,208,"2020-07-26",28.6,34.01,23.4,1.86,2,67.88,21.42,415.1,26.43,74,9.42687067242949,14.1390076111122,39.6413596989961,1.5482320299723,0.228235364406548,12.3114839020626,-10.4514839020626,20.705,0.941136363636364,10.61,0.682878899353403,292.748152588078
"75",75,75,"DEH1.2020",14,-75.4661,38.63014,2020,7,27,209,"2020-07-27",29.36,34.58,24.05,0.01,2.44,64.31,21.13,421.98,26.7,75,9.53173425574175,14.1096316995464,39.523465118738,1.73618346601123,0.235342863239771,12.472619177975,-12.462619177975,21.315,0.968863636363636,10.53,0.661957855948693,300.746799675832
"76",76,76,"DEH1.2020",14,-75.4661,38.63014,2020,7,28,210,"2020-07-28",29.88,35.17,24.83,1.59,2.38,69.25,22.94,425.46,26.74,76,9.55498515380415,14.0796829781261,39.4025439887993,1.60647396825367,0.243544730488421,12.5298346814299,-10.9398346814299,22,1,10.34,0.639985589914823,309.753025518774
"77",77,77,"DEH1.2020",14,-75.4661,38.63014,2020,7,29,211,"2020-07-29",28.65,34.03,24.44,1.45,1.91,65.81,20.48,415.57,26.49,77,9.47494639434079,14.0491761788919,39.278605016819,1.78716652276579,0.234400282083474,12.3699779122419,-10.9199779122419,21.235,0.965227272727273,9.59,0.661604717630888,298.33425615877
"78",78,78,"DEH1.2020",14,-75.4661,38.63014,2020,7,30,212,"2020-07-30",29.03,34.3,24.32,2.31,1.94,70.81,22.43,416.66,25.58,78,9.15883733528875,14.0181259944759,39.1516575534191,1.51116076861118,0.235283858872733,11.9491495474636,-9.63914954746358,21.31,0.968636363636364,9.98,0.657819145681647,298.726264942281
"79",79,79,"DEH1.2020",14,-75.4661,38.63014,2020,7,31,213,"2020-07-31",26.02,28.97,22.9,18.2,3.06,85.44,23.24,432.96,8.19,79,2.93554064220509,13.9865470604419,39.0217116322983,0.54511686080946,0.198185062302173,3.76147522689688,14.4385247731031,17.935,0.815227272727273,6.07,0.779846504624583,250.848721529025
